Year ,Tons per capita 
1960,15.99977916
1961,15.68125552
1962,16.0139375
1963,16.48276215
1964,16.96811858
1965,17.45172525
1966,18.12107301
1967,18.59831788
1968,19.08938916
1969,19.85794566
1970,21.11125227
1971,20.98020348
1972,21.74864198
1973,22.51058213
1974,21.50293038
1975,20.40222407
1976,21.15761537
1977,21.53248401
1978,21.97300469
1979,21.78043698
1980,20.78648774
1981,19.76676417
1982,18.59049523
1983,18.57154371
1984,18.97675027
1985,18.72072272
1986,19.35033442
1987,20.01041341
1988,20.07576978
1989,19.40922912
1990,19.00573561
1991,19.02508245
1992,19.2381088
1993,18.97675027
1994,18.88231274
1995,18.72072272
1996,19.35033442
1997,20.01041341
1998,20.07576978
1999,19.40922912
2000,19.00573561
2001,19.02508245
2002,19.2381088
2003,19.28061081
2004,19.25393761
2005,19.478026
2006,18.9576435
2007,19.05602695
2008,18.29480563
2009,16.81886848
2010,17.43419587
2011,16.59940374
2012,15.77114462
2013,16.10295784
2014,16.02637907
2015,15.53534211
2016,15.13174682
2017,14.80588242
2018,15.24087458
